# This is a bar (= "|") separated ascii table having the following columns: 
#  1 SNAME: SINGG name
#  2 NEDNAME: NED name
#  3 NNEDMATCH: Number of NED position matches
#  4 SEPNED: Separation master to best NED match [arcsec]
#  5 OBJTYP: Object type from NED
#  6 MORPH: Morphology from NED
#  7 NREF: Number of references for best NED match
#  8 NREFTOT: Sum of all references to NED matched objects
#  9 HAFLAG: Halpha status flag [-1:1] (master)
# 10 UVFLAG: GALEX status flag [-1:3] (master)
# 11 RA: RA master db (J2000) [deg]
# 12 DEC: Dec master db (J2000) [deg]
# 13 LMHI: Log(M_HI [Msun])
# 14 VHEL: Heliocentric velocity (from HIPASS) [km/s]
# 15 MAGR: R-band apparent magnitude [ABmag] (SINGG)
# 16 MUER: R-band surface bright dust corr [ABmag/arcsec^2] (SINGG)
# 17 RER: R-band half-light radius [arcsec] (SINGG)
# 18 RMAXR: Maximum radius for R-band and H-alpha [arcsec] (SINGG)
# 19 FLXNUV: NUV flux full aperture [erg/cm^2/sec/A] (SUNGG)
# 20 SENUV: NUV eff surf bright [ABmag/arcsec^2] (SUNGG)
# 21 RENUV: NUV half-light radius [arcsec] (SUNGG)
# 22 RMAXNUV: UV full flux aperture radius [arcsec] (SUNGG)
J0156-68|ESO 052- G 010|0|2.97976|G|Dwarf|8|8|1|3|29.210327|-68.994423|8.54333|1387.30|15.2656|22.9593|15.2097|69.8859|3.56100e-15|25.5300|29.9000|60.0000
J0203-09|UGCA 023|2|1.49555|G|Sd|30|31|-1|1|30.758333|-9.6559167|10.2627|3859.60|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0204-06|UGCA 024|2|5.40183|G|SB(s)m|26|26|-1|0|31.132500|-6.1990833|9.31123|1362.70|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0205-55a:S1|ESO 153- G 017|3|0.690627|G|SAB(r)bc|33|38|1|-1|31.272840|-55.111816|10.5125|6523.90|12.9001|20.4298|17.5959|22.4073|0.00000|0.00000|0.00000|0.00000
J0205-55a:S2|ESO 153-IG 016|1|1.46019|G|SB(s)cd pec|15|15|1|-1|31.211601|-55.217098|10.5125|6523.90|15.9423|21.1238|5.18995|9.61910|0.00000|0.00000|0.00000|0.00000
J0205-55a:S3|ESO 153- G 015|0|0.714957|G|S0|4|4|1|-1|31.145487|-55.119347|10.5125|6523.90|13.5002|18.9425|6.71974|37.9195|0.00000|0.00000|0.00000|0.00000
J0205-55a:S4|ESO 153- G 013|0|0.947926|G|Sa:|9|9|1|-1|31.082289|-55.230679|10.5125|6523.90|13.4664|20.0220|11.2502|86.0338|0.00000|0.00000|0.00000|0.00000
J0205-55a:S5|APMUKS(BJ) B020310.79-552250.8|0|1.11454|G||0|0|1|-1|31.228222|-55.142220|10.5125|6523.90|17.7190|23.2783|5.84204|13.0224|0.00000|0.00000|0.00000|0.00000
J0205-55a:S6|6dF J0204570-551334|0|0.133798|G||0|0|1|-1|31.237793|-55.226139|10.5125|6523.90|16.7085|20.3819|2.52146|10.9703|0.00000|0.00000|0.00000|0.00000
J0205-55a:S7|APMUKS(BJ) B020340.02-552832.4|0|1.04428|G||0|0|1|-1|31.348539|-55.237324|10.5125|6523.90|19.2034|22.3483|1.86574|13.7652|0.00000|0.00000|0.00000|0.00000
J0205-55a:S8|APMUKS(BJ) B020246.28-552716.4|0|5.84156|G||0|0|1|-1|31.123781|-55.215580|10.5125|6523.90|17.4141|21.2099|2.61344|6.18776|0.00000|0.00000|0.00000|0.00000
J0205-55a:S9||0|496983.|||0|0|0|-1|31.344292|-55.237417|10.5125|6523.90|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0209-10:S1|NGC 0839|2|3.57258|G|Spec sp; LINER Sy2|103|110|1|3|32.427940|-10.183711|10.3104|3899.60|12.6760|19.4350|11.9263|93.7069|1.97900e-15|20.0700|22.3000|48.0000
J0209-10:S2|NGC 0838|5|2.41685|G|SA(rs)0^0 pec: Sbrst|140|151|1|3|32.410339|-10.146053|10.3104|3899.60|12.5081|18.3649|7.96757|75.8483|1.18100e-14|23.4600|35.0000|72.0000
J0209-10:S3|NGC 0835|8|2.78924|G|SAB(r)ab: pec  LINER|133|136|1|3|32.351803|-10.136276|10.3104|3899.60|12.2075|19.5333|16.0395|139.987|9.42400e-15|22.9800|37.4000|79.2000
J0209-10:S4|NGC 0833|3|2.33368|G|(R')Sa:pec;Sy2 LINER|99|99|1|3|32.336193|-10.132932|10.3104|3899.60|12.5318|18.6255|8.87049|45.0625|1.29800e-15|25.1200|37.3000|79.2000
